id,Keyword,Country,Location,SERP features,Volume,KD,CPC,Previous organic traffic,Current organic traffic,Organic traffic change,Current paid traffic,Previous position,Current position,Position change,Previous URL inside,Previous URL,Current URL inside,Current URL,Previous date,Current date,Branded,Local,Navigational,Informational,Commercial,Transactional
1,星座配對,HK,Hong Kong,,2100,1,0.29,1,8,7,0,31,20,11.0,,https://pretty.presslogic.com/category/zodiac-sign-compatibility,,https://pretty.presslogic.com/category/zodiac-sign-compatibility,2025-02-04 04:54:34,2025-05-02 09:34:36,False,False,False,True,False,False
2,高難度iq題,HK,Hong Kong,Sitelinks,1100,0,,0,2,2,0,28,21,7.0,,https://pretty.presslogic.com/article/488856/80%E5%BE%8C-90%E5%BE%8C-iq%E9%A1%8C2021-1%EF%BC%8B1%E5%B9%BE%E6%99%82%E7%AD%89%E6%96%BC3-%E8%8F%A0%E8%98%BF%E4%BF%82%E9%BB%83%E8%89%B2%E5%92%A9%E8%98%BF%E4%BF%82%E7%B6%A0%E8%89%B2,,https://pretty.presslogic.com/article/488856/80%E5%BE%8C-90%E5%BE%8C-iq%E9%A1%8C2021-1%EF%BC%8B1%E5%B9%BE%E6%99%82%E7%AD%89%E6%96%BC3-%E8%8F%A0%E8%98%BF%E4%BF%82%E9%BB%83%E8%89%B2%E5%92%A9%E8%98%BF%E4%BF%82%E7%B6%A0%E8%89%B2,2025-02-07 01:44:18,2025-05-05 00:31:53,False,False,False,True,False,False
3,年花,HK,Hong Kong,"Featured snippet, Sitelinks, Thumbnail",2900,0,0.36,0,2,2,0,63,24,39.0,,https://pretty.presslogic.com/article/739563/%E5%B9%B4%E8%8A%B1%E7%A8%AE%E9%A1%9E,,https://pretty.presslogic.com/article/739563/%E5%B9%B4%E8%8A%B1%E7%A8%AE%E9%A1%9E,2025-02-08 23:14:34,2025-05-07 09:37:36,False,False,False,True,False,False
4,雙子座女,HK,Hong Kong,,300,1,,0,2,2,0,32,20,12.0,,https://pretty.presslogic.com/article/732147/%E9%9B%99%E5%AD%90%E5%BA%A7%E5%A5%B3%E8%88%87%E9%9B%99%E5%AD%90%E5%BA%A7%E7%94%B7%E9%85%8D%E5%B0%8D,,https://pretty.presslogic.com/article/732197/%E9%9B%99%E5%AD%90%E5%BA%A7%E5%A5%B3%E8%88%87%E6%B0%B4%E7%93%B6%E5%BA%A7%E7%94%B7%E9%85%8D%E5%B0%8D,2025-01-23 15:37:59,2025-05-01 23:34:45,False,False,False,True,False,False
5,1111天使數字,HK,Hong Kong,"Featured snippet, Thumbnail",2300,0,,0,2,1,0,31,24,7.0,,https://pretty.presslogic.com/article/671959/%E6%89%8B%E6%A9%9F%E5%B1%8F%E5%B9%95-%E5%A4%A9%E4%BD%BF%E6%95%B8%E5%AD%97-1212-%E9%A1%98%E6%9C%9B%E6%88%90%E7%9C%9F-1111-%E6%A1%83%E8%8A%B1,,https://pretty.presslogic.com/article/671959/%E6%89%8B%E6%A9%9F%E5%B1%8F%E5%B9%95-%E5%A4%A9%E4%BD%BF%E6%95%B8%E5%AD%97-1212-%E9%A1%98%E6%9C%9B%E6%88%90%E7%9C%9F-1111-%E6%A1%83%E8%8A%B1,2025-02-07 18:46:27,2025-05-05 18:01:11,False,False,False,True,False,False
6,秋天清熱解毒湯水,HK,Hong Kong,"Featured snippet, Thumbnail",500,0,0.02,1,1,0,0,21,20,1.0,,https://pretty.presslogic.com/article/732814/%E7%A7%8B%E5%A4%A9%E6%BB%8B%E6%BD%A4%E6%B9%AF%E6%B0%B4,,https://pretty.presslogic.com/article/732814/%E7%A7%8B%E5%A4%A9%E6%BB%8B%E6%BD%A4%E6%B9%AF%E6%B0%B4,2025-02-07 23:51:30,2025-05-05 15:30:32,False,False,False,True,False,False
7,雙子座男,HK,Hong Kong,People also ask,500,2,,6,1,-5,0,14,22,-8.0,,https://pretty.presslogic.com/article/732307/%E6%B0%B4%E7%93%B6%E5%BA%A7%E5%A5%B3%E8%88%87%E9%9B%99%E5%AD%90%E5%BA%A7%E7%94%B7%E9%85%8D%E5%B0%8D,,https://pretty.presslogic.com/article/732307/%E6%B0%B4%E7%93%B6%E5%BA%A7%E5%A5%B3%E8%88%87%E9%9B%99%E5%AD%90%E5%BA%A7%E7%94%B7%E9%85%8D%E5%B0%8D,2025-01-21 19:18:27,2025-05-08 00:52:46,False,False,False,True,False,False
8,recolte 氣炸鍋,HK,Hong Kong,Sitelinks,500,0,0.04,0,1,1,0,49,20,29.0,,https://pretty.presslogic.com/article/398654/recolte%E6%B0%A3%E7%82%B8%E9%8D%8B%E9%A6%99%E6%B8%AF%E6%9C%89%E5%BE%97%E9%A0%90%E8%A8%82%E5%95%A6-%E8%BC%95%E9%AC%86%E8%A3%BD%E4%BD%9C%E5%81%A5%E5%BA%B7%E6%B8%9B%E6%B2%B9%E6%96%99%E7%90%86-%E9%99%84%E9%80%81%E7%82%B8%E7%89%A9-%E7%83%A4%E7%89%9B%E6%89%92-%E7%94%9C%E5%93%81%E7%AD%8928%E6%AC%BE%E9%A3%9F%E8%AD%9C,,https://pretty.presslogic.com/article/398654/recolte%E6%B0%A3%E7%82%B8%E9%8D%8B%E9%A6%99%E6%B8%AF%E6%9C%89%E5%BE%97%E9%A0%90%E8%A8%82%E5%95%A6-%E8%BC%95%E9%AC%86%E8%A3%BD%E4%BD%9C%E5%81%A5%E5%BA%B7%E6%B8%9B%E6%B2%B9%E6%96%99%E7%90%86-%E9%99%84%E9%80%81%E7%82%B8%E7%89%A9-%E7%83%A4%E7%89%9B%E6%89%92-%E7%94%9C%E5%93%81%E7%AD%8928%E6%AC%BE%E9%A3%9F%E8%AD%9C,2025-01-29 03:45:29,2025-05-07 23:49:29,True,False,False,True,True,True
9,有色潤唇膏,HK,Hong Kong,"Featured snippet, Sitelinks",300,0,0.39,0,1,1,0,64,21,43.0,,https://pretty.presslogic.com/article/735435/%E6%BD%A4%E5%94%87%E8%86%8F%E6%8E%A8%E8%96%A6,,https://pretty.presslogic.com/article/735435/%E6%BD%A4%E5%94%87%E8%86%8F%E6%8E%A8%E8%96%A6,2025-02-07 09:56:39,2025-04-20 05:20:26,False,False,False,True,True,True
10,年花種類,HK,Hong Kong,"Featured snippet, Thumbnail, Sitelinks",500,0,,0,1,1,0,28,21,7.0,,https://pretty.presslogic.com/article/739563/%E5%B9%B4%E8%8A%B1%E7%A8%AE%E9%A1%9E,,https://pretty.presslogic.com/article/739563/%E5%B9%B4%E8%8A%B1%E7%A8%AE%E9%A1%9E,2025-02-07 12:54:48,2025-05-05 09:45:29,False,False,False,True,False,False
